"Question Type","Question Title","Question Category","Questions Image","Option 1","Question Explanation","Option 2","Question Explanation_1","Option 3","Question Explanation_2","Option 4","Question Explanation_3","Option 5","Question Explanation_4","Answer","Show correct answer","Passing grade (%)","Points total cut after re-take (%)","Randomize questions","Quiz Title","Quiz Content","Quiz Frontend description","Quiz Featured Image","Quiz Duration","Duration Mesures (Minutes/ Hours/Days)","Course Name","Section Name","Relevant IDs"
"single_choice","In the introduction, which approach is linked with B2B social media strategy?","Social Media Strategy","","Trust and expertise","CORRECT - The documents identify B2B as focused on trust and expertise. | This option matches the document concept. | KSBs Covered: K2.2","Emotion and quick engagement","INCORRECT - The documents identify B2B as focused on trust and expertise. | This is linked with B2C.","Storytelling for action","INCORRECT - The documents identify B2B as focused on trust and expertise. | This is linked with NFP strategy.","Only viral entertainment","INCORRECT - The documents identify B2B as focused on trust and expertise. | B2B can use stories, but not only entertainment.","","","1","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","In the introduction, which approach is linked with B2C social media strategy?","Social Media Strategy","","Trust and expertise","INCORRECT - The materials describe B2C as using emotion and quick engagement. | This describes B2B.","Emotion and quick engagement","CORRECT - The materials describe B2C as using emotion and quick engagement. | This option matches the document concept. | KSBs Covered: K2.2","Internal procurement only","INCORRECT - The materials describe B2C as using emotion and quick engagement. | Procurement is not the B2C focus.","Formal reporting only","INCORRECT - The materials describe B2C as using emotion and quick engagement. | B2C content is usually more visual and human.","","","2","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Which focus is linked with not-for-profit social media strategy?","Social Media Strategy","","Technical procurement documentation","INCORRECT - NFP content is described as storytelling for action, often to drive donations, volunteering or awareness. | This is closer to B2B technical content.","Private sales negotiations","INCORRECT - NFP content is described as storytelling for action, often to drive donations, volunteering or awareness. | NFP social media is not mainly private sales.","Silent brand monitoring only","INCORRECT - NFP content is described as storytelling for action, often to drive donations, volunteering or awareness. | Monitoring alone does not mobilise action.","Storytelling that inspires action","CORRECT - NFP content is described as storytelling for action, often to drive donations, volunteering or awareness. | This option matches the document concept. | KSBs Covered: K2.2, B3.1","","","4","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","A brand has a strong organic following and wants regular updates and community interaction. What should it prioritise?","Social Media Strategy","","Paid ads only for every daily update","INCORRECT - Decision-tree guidance says organic suits ongoing engagement, updates and daily community management. | Paid can support campaigns, but daily updates suit organic.","No community replies after posting","INCORRECT - Decision-tree guidance says organic suits ongoing engagement, updates and daily community management. | Replies are part of organic engagement.","Organic content with consistent engagement","CORRECT - Decision-tree guidance says organic suits ongoing engagement, updates and daily community management. | This option matches the document concept. | KSBs Covered: S5.3","A one-off campaign with no follow-up","INCORRECT - Decision-tree guidance says organic suits ongoing engagement, updates and daily community management. | Ongoing interaction is needed here.","","","3","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","A team needs to reach people by demographics, behaviours, interests and location. Which route gives more precision?","Social Media Strategy","","General organic posting only","INCORRECT - Paid social allows specific targeting by demographic, behaviour, interest and location. | Organic is less precise in targeting.","Paid social targeting","CORRECT - Paid social allows specific targeting by demographic, behaviour, interest and location. | This option matches the document concept. | KSBs Covered: K4.2, S5.3","Untargeted profile updates","INCORRECT - Paid social allows specific targeting by demographic, behaviour, interest and location. | Profile updates do not ensure precise reach.","Random comment replies","INCORRECT - Paid social allows specific targeting by demographic, behaviour, interest and location. | Replies may help engagement, not targeting.","","","2","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Which risk is a disadvantage of over-reliance on paid social?","Social Media Strategy","","Neglecting long-term organic growth","CORRECT - The materials warn that paid reliance can harm long-term loyalty and neglect organic growth. | This option matches the document concept. | KSBs Covered: K4.2, B1.1","Building too much credibility organically","INCORRECT - The materials warn that paid reliance can harm long-term loyalty and neglect organic growth. | Credibility is an organic benefit, not the risk.","Removing the need to monitor ROI","INCORRECT - The materials warn that paid reliance can harm long-term loyalty and neglect organic growth. | Paid requires monitoring and adjustment.","Making every post algorithm-proof forever","INCORRECT - The materials warn that paid reliance can harm long-term loyalty and neglect organic growth. | No post is made permanently algorithm-proof.","","","1","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","What should a campaign decision tree start with?","Social Media Strategy","","The main campaign objective","CORRECT - The task slide asks learners to identify the main objective such as awareness, lead generation or sales before choosing activity. | This option matches the document concept. | KSBs Covered: K1.1, S1.3","The favourite platform of the manager","INCORRECT - The task slide asks learners to identify the main objective such as awareness, lead generation or sales before choosing activity. | Platform choice should follow audience and goals.","The longest caption available","INCORRECT - The task slide asks learners to identify the main objective such as awareness, lead generation or sales before choosing activity. | Caption length is not the starting point.","The cheapest stock image","INCORRECT - The task slide asks learners to identify the main objective such as awareness, lead generation or sales before choosing activity. | A stock image does not define strategy.","","","1","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","What is the key takeaway from the Greggs case study in Part 1?","Social Media Strategy","","Organic posts should never be amplified","INCORRECT - The Greggs slide says blending organic and paid supports visibility, even during crises. | The case supports amplification, not rejection.","Paid ads should replace brand voice","INCORRECT - The Greggs slide says blending organic and paid supports visibility, even during crises. | Paid should not replace authentic voice.","Crisis situations require all content to stop forever","INCORRECT - The Greggs slide says blending organic and paid supports visibility, even during crises. | The case promotes thoughtful response, not permanent silence.","Combining organic engagement with paid promotion strengthens visibility","CORRECT - The Greggs slide says blending organic and paid supports visibility, even during crises. | This option matches the document concept. | KSBs Covered: K4.3, B4.2","","","4","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","Which option best describes organic activity in the integration table?","Social Media Strategy","","It guarantees placements at scale","INCORRECT - The integration table describes organic as good for long-term relationships and trust, but limited by algorithms. | Guaranteed placements are paid activity.","It requires no creativity or labour","INCORRECT - The integration table describes organic as good for long-term relationships and trust, but limited by algorithms. | Organic requires time and creativity.","It builds long-term relationships and trust","CORRECT - The integration table describes organic as good for long-term relationships and trust, but limited by algorithms. | This option matches the document concept. | KSBs Covered: K4.2, S4.1","It reaches only targeted strangers","INCORRECT - The integration table describes organic as good for long-term relationships and trust, but limited by algorithms. | Organic mostly reaches existing followers and networks.","","","3","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
"single_choice","A marketer has a modest ad budget and wants fast lead generation. What is the best professional action?","Social Media Strategy","","Rely only on slow organic growth","INCORRECT - Paid activity is suitable for fast leads, but the documents stress dedicated budget, monitoring and ROI adjustment. | Organic alone may not deliver fast leads.","Use paid activity with monitoring and adjustment","CORRECT - Paid activity is suitable for fast leads, but the documents stress dedicated budget, monitoring and ROI adjustment. | This option matches the document concept. | KSBs Covered: K4.2, S5.1","Spend the budget without measuring ROI","INCORRECT - Paid activity is suitable for fast leads, but the documents stress dedicated budget, monitoring and ROI adjustment. | Paid social requires measurement.","Post unrelated viral trends only","INCORRECT - Paid activity is suitable for fast leads, but the documents stress dedicated budget, monitoring and ROI adjustment. | Trends should align with objectives and audience.","","","2","Yes","65","5","Yes","Social Media Strategy MCQ - Part 1: Organic vs Paid Foundations","Section 1 of 3. Single-choice questions covering organic and paid social media, algorithm limits, decision trees, integration, and campaign choices.","Complete 20 single-choice questions on organic vs paid social media strategy. Choose the one best answer for each question.","","20","Minutes","Social Media Marketing Executive - Level 4","Part 1 - Organic vs Paid Social Media Foundations",""
